D/AlarmManagerService(   61): Kernel timezone updated to 0 minutes west of GMT
I/DEBUG   (   31): Build fingerprint: 'generic/sdk/generic:2.3.3/GRI34/101070:eng/test-keys'
I/DEBUG   (   31): pid: 345, tid: 345  >>> cn.wps.moffice_eng <<<
I/DEBUG   (   31): signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 00000000
I/DEBUG   (   31):  r0 afd17111  r1 80602988  r2 80602b20  r3 afd17111
I/DEBUG   (   31):  r4 80602988  r5 80600f60  r6 80602b18  r7 80604008
I/DEBUG   (   31):  r8 afd4d5c8  r9 00000000  10 00000000  fp 42de8bb8
I/DEBUG   (   31):  ip 00000010  sp 45220ad0  lr afd1a963  pc 806011d0  cpsr 00000010
I/DEBUG   (   31):          #00  pc 000011d0  /dev/libhook_open.so
I/DEBUG   (   31):          #01  pc 0000241c  /dev/libhello.so
I/DEBUG   (   31): 
I/DEBUG   (   31): code around pc:
I/DEBUG   (   31): 806011b0 e5973000 e28d0068 ebffff41 e5970000 
I/DEBUG   (   31): 806011c0 e59f20c0 e1a01004 e1a03000 e08f2002 
I/DEBUG   (   31): 806011d0 e58a0000 e3a00003 ebffff33 e59f00a8 
I/DEBUG   (   31): 806011e0 e28d1068 e08f0000 ebffff38 e3a0105c 
I/DEBUG   (   31): 806011f0 e1a02006 e1a03005 e28d0068 ebffff30 
I/DEBUG   (   31): 
I/DEBUG   (   31): code around lr:
I/DEBUG   (   31): afd1a940 f7ff980b 2800ff7d f001d001 9e0df883 
I/DEBUG   (   31): afd1a950 98059912 9312180b 2a019a09 f001d001 
I/DEBUG   (   31): afd1a960 3701f866 970f466b 33ff3320 21012000 
I/DEBUG   (   31): afd1a970 9e0f9609 70182700 9713424b 27009305 
I/DEBUG   (   31): afd1a980 99057833 e0003601 1c1a9213 2a5a3a20 
I/DEBUG   (   31): 
I/DEBUG   (   31): stack:
I/DEBUG   (   31):     45220a90  40000000  /dev/__properties__ (deleted)
I/DEBUG   (   31):     45220a94  40002424  /dev/__properties__ (deleted)
I/DEBUG   (   31):     45220a98  45220adc  
I/DEBUG   (   31):     45220a9c  40002420  /dev/__properties__ (deleted)
I/DEBUG   (   31):     45220aa0  00000000  
I/DEBUG   (   31):     45220aa4  45220adc  
I/DEBUG   (   31):     45220aa8  80602ae8  /dev/libhook_open.so
I/DEBUG   (   31):     45220aac  00000000  
I/DEBUG   (   31):     45220ab0  00000000  
I/DEBUG   (   31):     45220ab4  80602988  /dev/libhook_open.so
I/DEBUG   (   31):     45220ab8  45220acc  
I/DEBUG   (   31):     45220abc  80602988  /dev/libhook_open.so
I/DEBUG   (   31):     45220ac0  80602988  /dev/libhook_open.so
I/DEBUG   (   31):     45220ac4  806011bc  /dev/libhook_open.so
I/DEBUG   (   31):     45220ac8  df002777  
I/DEBUG   (   31):     45220acc  e3a070ad  
I/DEBUG   (   31): #00 45220ad0  80600f60  /dev/libhook_open.so
I/DEBUG   (   31):     45220ad4  80600e08  /dev/libhook_open.so
I/DEBUG   (   31):     45220ad8  00000015  
I/DEBUG   (   31):     45220adc  62626262  
I/DEBUG   (   31):     45220ae0  62626262  
I/DEBUG   (   31):     45220ae4  00000000  
I/DEBUG   (   31):     45220ae8  00000000  
I/DEBUG   (   31):     45220aec  00000000  
I/DEBUG   (   31):     45220af0  00000000  
I/DEBUG   (   31):     45220af4  00000000  
I/DEBUG   (   31):     45220af8  00000000  
I/DEBUG   (   31):     45220afc  00000000  
I/DEBUG   (   31):     45220b00  00000000  
I/DEBUG   (   31):     45220b04  00000000  
I/DEBUG   (   31):     45220b08  00000000  
I/DEBUG   (   31):     45220b0c  00000000  
I/DEBUG   (   31):     45220b10  00000000  
I/DEBUG   (   31):     45220b14  00000000  
I/DEBUG   (   31):     45220b18  00000000  
I/DEBUG   (   31):     45220b1c  00000000  
I/DEBUG   (   31):     45220b20  00000000  
I/DEBUG   (   31):     45220b24  00000000  
I/DEBUG   (   31):     45220b28  00000000  
I/DEBUG   (   31):     45220b2c  00000000  
I/DEBUG   (   31):     45220b30  00000000  
I/DEBUG   (   31):     45220b34  00000000  
I/DEBUG   (   31):     45220b38  39343932  
I/DEBUG   (   31):     45220b3c  37383337  
I/DEBUG   (   31):     45220b40  00003936  
I/DEBUG   (   31):     45220b44  00000000  
I/DEBUG   (   31):     45220b48  00000000  
I/DEBUG   (   31):     45220b4c  00000000  
I/DEBUG   (   31):     45220b50  00000000  
I/DEBUG   (   31):     45220b54  00000000  
I/DEBUG   (   31):     45220b58  00000000  
I/DEBUG   (   31):     45220b5c  00000000  
I/DEBUG   (   31):     45220b60  00000000  
I/DEBUG   (   31):     45220b64  00000000  
I/DEBUG   (   31):     45220b68  00000000  
I/DEBUG   (   31):     45220b6c  00000000  
I/DEBUG   (   31):     45220b70  00000000  
I/DEBUG   (   31):     45220b74  00000000  
I/DEBUG   (   31):     45220b78  00000000  
I/DEBUG   (   31):     45220b7c  00000000  
I/DEBUG   (   31):     45220b80  00000000  
I/DEBUG   (   31):     45220b84  00000000  
I/DEBUG   (   31):     45220b88  00000000  
I/DEBUG   (   31):     45220b8c  00000000  
I/DEBUG   (   31):     45220b90  00000000  
I/DEBUG   (   31):     45220b94  dea00048  
I/DEBUG   (   31):     45220b98  805041e0  /dev/libhello.so
I/DEBUG   (   31):     45220b9c  8060109c  /dev/libhook_open.so
I/DEBUG   (   31):     45220ba0  00000000  
I/DEBUG   (   31):     45220ba4  00000107  
I/DEBUG   (   31):     45220ba8  00001db4  
I/DEBUG   (   31):     45220bac  4214ce24  
I/DEBUG   (   31):     45220bb0  4214ce10  
I/DEBUG   (   31):     45220bb4  80502420  /dev/libhello.so
I/DEBUG   (   31): #01 45220bb8  00000159  
I/DEBUG   (   31):     45220bbc  80500114  /dev/libhello.so
I/DEBUG   (   31):     45220bc0  00000000  
I/DEBUG   (   31):     45220bc4  00000159  
I/DEBUG   (   31):     45220bc8  80502354  /dev/libhello.so
I/DEBUG   (   31):     45220bcc  80500000  /dev/libhello.so
I/DEBUG   (   31):     45220bd0  00002354  
I/DEBUG   (   31):     45220bd4  00000107  
I/DEBUG   (   31):     45220bd8  bef75450  
I/DEBUG   (   31):     45220bdc  b000d198  
I/DEBUG   (   31):     45220be0  00000003  
I/DEBUG   (   31):     45220be4  430f8fc9  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (   31):     45220be8  00000107  
I/DEBUG   (   31):     45220bec  bef75450  
I/DEBUG   (   31):     45220bf0  4214ce24  
I/DEBUG   (   31):     45220bf4  4214ce10  
I/DEBUG   (   31):     45220bf8  42de8bb8  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (   31):     45220bfc  45220c34  
D/Zygote  (   33): Process 345 terminated by signal (11)
I/ActivityManager(   61): Process cn.wps.moffice_eng (pid 345) has died.
E/InputDispatcher(   61): channel '4055ad78 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager (server)' ~ Consumer closed input channel or an error occurred.  events=0x8
E/InputDispatcher(   61): channel '4055ad78 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager (server)' ~ Channel is unrecoverably broken and will be disposed!
I/WindowManager(   61): WIN DEATH: Window{4055ad78 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager paused=false}
I/BootReceiver(   61): Copying /data/tombstones/tombstone_01 to DropBox (SYSTEM_TOMBSTONE)
D/dalvikvm(   61): GC_FOR_MALLOC freed 557K, 45% free 4758K/8583K, external 4373K/5573K, paused 51ms
W/InputManagerService(   61): Got RemoteException sending setActive(false) notification to pid 345 uid 10037
I/ActivityManager(   61): Starting: Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity } from pid 144
I/ActivityManager(   61): Start proc cn.wps.moffice_eng for activity cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity: pid=373 uid=10037 gids={3003, 1015}
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  373): Could not find method cn.wps.moffice.documentmanager.PreStartActivity.getActionBar, referenced from method cn.wps.moffice.documentmanager.PreStartActivity.setDisplayShowCustomEnabled
W/dalvikvm(  373): VFY: unable to resolve virtual method 11013: Lcn/wps/moffice/documentmanager/PreStartActivity;.getActionBar ()Landroid/app/ActionBar;
D/dalvikvm(  373): VFY: replacing opcode 0x6e at 0x0006
D/dalvikvm(  373): VFY: dead code 0x0009-000e in Lcn/wps/moffice/documentmanager/PreStartActivity;.setDisplayShowCustomEnabled (Z)V
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/ActivityManager(   61): Starting: Intent { cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager } from pid 373
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GC_EXTERNAL_ALLOC freed 638K, 50% free 3331K/6599K, external 2129K/2137K, paused 52ms
D/dalvikvm(  373): GC_EXTERNAL_ALLOC freed 46K, 49% free 3382K/6599K, external 2611K/2673K, paused 45ms
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  373): Failed resolving Lcn/wps/moffice/common/beans/k$1; interface 540 'Landroid/nfc/NfcAdapter$OnNdefPushCompleteCallback;'
W/dalvikvm(  373): Link of class 'Lcn/wps/moffice/common/beans/k$1;' failed
E/dalvikvm(  373): Could not find class 'cn.wps.moffice.common.beans.k$1', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  373): VFY: unable to resolve new-instance 1597 (Lcn/wps/moffice/common/beans/k$1;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  373): VFY: replacing opcode 0x22 at 0x0039
I/dalvikvm(  373): Failed resolving Lcn/wps/moffice/common/beans/k$3; interface 538 'Landroid/nfc/NfcAdapter$CreateBeamUrisCallback;'
W/dalvikvm(  373): Link of class 'Lcn/wps/moffice/common/beans/k$3;' failed
E/dalvikvm(  373): Could not find class 'cn.wps.moffice.common.beans.k$3', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  373): VFY: unable to resolve new-instance 1599 (Lcn/wps/moffice/common/beans/k$3;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  373): VFY: replacing opcode 0x22 at 0x0070
D/dalvikvm(  373): VFY: dead code 0x003b-005c in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/dalvikvm(  373): VFY: dead code 0x0072-0079 in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/water   (  373): packageName: cn.wps.moffice_eng
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GC_CONCURRENT freed 515K, 46% free 3633K/6727K, external 3121K/3694K, paused 6ms+10ms
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  373): GC_EXTERNAL_ALLOC freed 324K, 48% free 3573K/6791K, external 3121K/3694K, paused 52ms
D/dalvikvm(  373): GC_EXTERNAL_ALLOC freed 150K, 48% free 3593K/6791K, external 3545K/4295K, paused 54ms
I/ActivityManager(   61): Displayed cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager: +3s125ms (total +4s70ms)
D/dalvikvm(  144): GC_EXPLICIT freed 15K, 50% free 2991K/5959K, external 6118K/7588K, paused 69ms
D/inject  (  399): [+] The pid of cn.wps.moffice_eng: 373
D/inject  (  399): [+] Injecting process: 373
D/inject  (  399): [+] get_remote_addr: local[afd00000], remote[afd00000]
D/inject  (  399): [+] Remote mmap address: afd170cd
D/inject  (  399): [+] Calling mmap in target process.
D/inject  (  399): [+] Target process returned from mmap, return value=4521c000, pc=0 
D/inject  (  399): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  399): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  399): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  399): [+] Get imports: dlopen: b00059bd, dlsym: b0005915, dlclose: b0005849
D/inject  (  399): [+] Inject code start: c008, end: c084
D/inject  (  399): [+] _dlopen_param1_s: 4521fc9c
D/inject  (  399): [+] _dlsym_param2_s: 4521fd9c
D/inject  (  399): [+] _saved_r0_pc_s: 4521fe9c
D/inject  (  399): [+] _inject_function_param_s: 4521ff9c
D/inject  (  399): [+] Remote shellcode address: 4521fc00
D/inject  (  399): [+] Process Detach: 10
D/inject  (  373): Hello ARM! I'm parameter1324! pid:373
D/inject  (  373): The Handle of libhook_open: b000d2b0
D/inject  (  373): find it pre 0
D/inject  (  373): find it 8060109c
D/inject  (  373): [+] aaaaaaa do_hook function is invoked 
D/inject  (  373): [+] open addr: 0xafd17111. New addr 0x80600f60
D/inject  (  373): [+] just for test 
D/inject  (  373): [+] set ok 
D/inject  (  373): [+] Get the persist.sys.test  bbbbbbbb
I/DEBUG   (   31): *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***
I/DEBUG   (   31): Build fingerprint: 'generic/sdk/generic:2.3.3/GRI34/101070:eng/test-keys'
I/DEBUG   (   31): pid: 373, tid: 373  >>> cn.wps.moffice_eng <<<
I/DEBUG   (   31): signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 00000000
I/DEBUG   (   31):  r0 afd17111  r1 80602988  r2 80602b20  r3 afd17111
I/DEBUG   (   31):  r4 80602988  r5 80600f60  r6 80602b18  r7 80604008
I/DEBUG   (   31):  r8 afd4d5c8  r9 00000000  10 00000000  fp 42de8bb8
I/DEBUG   (   31):  ip 00000010  sp 4521fad0  lr afd1a963  pc 806011d0  cpsr 00000010
I/DEBUG   (   31):          #00  pc 000011d0  /dev/libhook_open.so
I/DEBUG   (   31):          #01  pc 0000241c  /dev/libhello.so
I/DEBUG   (   31): 
I/DEBUG   (   31): code around pc:
I/DEBUG   (   31): 806011b0 e5973000 e28d0068 ebffff41 e5970000 
I/DEBUG   (   31): 806011c0 e59f20c0 e1a01004 e1a03000 e08f2002 
I/DEBUG   (   31): 806011d0 e58a0000 e3a00003 ebffff33 e59f00a8 
I/DEBUG   (   31): 806011e0 e28d1068 e08f0000 ebffff38 e3a0105c 
I/DEBUG   (   31): 806011f0 e1a02006 e1a03005 e28d0068 ebffff30 
I/DEBUG   (   31): 
I/DEBUG   (   31): code around lr:
I/DEBUG   (   31): afd1a940 f7ff980b 2800ff7d f001d001 9e0df883 
I/DEBUG   (   31): afd1a950 98059912 9312180b 2a019a09 f001d001 
I/DEBUG   (   31): afd1a960 3701f866 970f466b 33ff3320 21012000 
I/DEBUG   (   31): afd1a970 9e0f9609 70182700 9713424b 27009305 
I/DEBUG   (   31): afd1a980 99057833 e0003601 1c1a9213 2a5a3a20 
I/DEBUG   (   31): 
I/DEBUG   (   31): stack:
I/DEBUG   (   31):     4521fa90  40000000  /dev/__properties__ (deleted)
I/DEBUG   (   31):     4521fa94  40002424  /dev/__properties__ (deleted)
I/DEBUG   (   31):     4521fa98  4521fadc  
I/DEBUG   (   31):     4521fa9c  40002420  /dev/__properties__ (deleted)
I/DEBUG   (   31):     4521faa0  00000000  
I/DEBUG   (   31):     4521faa4  4521fadc  
I/DEBUG   (   31):     4521faa8  80602ae8  /dev/libhook_open.so
I/DEBUG   (   31):     4521faac  00000000  
I/DEBUG   (   31):     4521fab0  00000000  
I/DEBUG   (   31):     4521fab4  80602988  /dev/libhook_open.so
I/DEBUG   (   31):     4521fab8  4521facc  
I/DEBUG   (   31):     4521fabc  80602988  /dev/libhook_open.so
I/DEBUG   (   31):     4521fac0  80602988  /dev/libhook_open.so
I/DEBUG   (   31):     4521fac4  806011bc  /dev/libhook_open.so
I/DEBUG   (   31):     4521fac8  df002777  
I/DEBUG   (   31):     4521facc  e3a070ad  
I/DEBUG   (   31): #00 4521fad0  80600f60  /dev/libhook_open.so
I/DEBUG   (   31):     4521fad4  80600e08  /dev/libhook_open.so
I/DEBUG   (   31):     4521fad8  00000015  
I/DEBUG   (   31):     4521fadc  62626262  
I/DEBUG   (   31):     4521fae0  62626262  
I/DEBUG   (   31):     4521fae4  00000000  
I/DEBUG   (   31):     4521fae8  00000000  
I/DEBUG   (   31):     4521faec  00000000  
I/DEBUG   (   31):     4521faf0  00000000  
I/DEBUG   (   31):     4521faf4  00000000  
I/DEBUG   (   31):     4521faf8  00000000  
I/DEBUG   (   31):     4521fafc  00000000  
I/DEBUG   (   31):     4521fb00  00000000  
I/DEBUG   (   31):     4521fb04  00000000  
I/DEBUG   (   31):     4521fb08  00000000  
I/DEBUG   (   31):     4521fb0c  00000000  
I/DEBUG   (   31):     4521fb10  00000000  
I/DEBUG   (   31):     4521fb14  00000000  
I/DEBUG   (   31):     4521fb18  00000000  
I/DEBUG   (   31):     4521fb1c  00000000  
I/DEBUG   (   31):     4521fb20  00000000  
I/DEBUG   (   31):     4521fb24  00000000  
I/DEBUG   (   31):     4521fb28  00000000  
I/DEBUG   (   31):     4521fb2c  00000000  
I/DEBUG   (   31):     4521fb30  00000000  
I/DEBUG   (   31):     4521fb34  00000000  
I/DEBUG   (   31):     4521fb38  39343932  
I/DEBUG   (   31):     4521fb3c  37383337  
I/DEBUG   (   31):     4521fb40  00003936  
I/DEBUG   (   31):     4521fb44  00000000  
I/DEBUG   (   31):     4521fb48  00000000  
I/DEBUG   (   31):     4521fb4c  00000000  
I/DEBUG   (   31):     4521fb50  00000000  
I/DEBUG   (   31):     4521fb54  00000000  
I/DEBUG   (   31):     4521fb58  00000000  
I/DEBUG   (   31):     4521fb5c  00000000  
I/DEBUG   (   31):     4521fb60  00000000  
I/DEBUG   (   31):     4521fb64  00000000  
I/DEBUG   (   31):     4521fb68  00000000  
I/DEBUG   (   31):     4521fb6c  00000000  
I/DEBUG   (   31):     4521fb70  00000000  
I/DEBUG   (   31):     4521fb74  00000000  
I/DEBUG   (   31):     4521fb78  00000000  
I/DEBUG   (   31):     4521fb7c  00000000  
I/DEBUG   (   31):     4521fb80  00000000  
I/DEBUG   (   31):     4521fb84  00000000  
I/DEBUG   (   31):     4521fb88  00000000  
I/DEBUG   (   31):     4521fb8c  00000000  
I/DEBUG   (   31):     4521fb90  00000000  
I/DEBUG   (   31):     4521fb94  dea00048  
I/DEBUG   (   31):     4521fb98  805041e0  /dev/libhello.so
I/DEBUG   (   31):     4521fb9c  8060109c  /dev/libhook_open.so
I/DEBUG   (   31):     4521fba0  00000000  
I/DEBUG   (   31):     4521fba4  00000107  
I/DEBUG   (   31):     4521fba8  00001db4  
I/DEBUG   (   31):     4521fbac  4214ce24  
I/DEBUG   (   31):     4521fbb0  4214ce10  
I/DEBUG   (   31):     4521fbb4  80502420  /dev/libhello.so
I/DEBUG   (   31): #01 4521fbb8  00000175  
I/DEBUG   (   31):     4521fbbc  80500114  /dev/libhello.so
I/DEBUG   (   31):     4521fbc0  00000000  
I/DEBUG   (   31):     4521fbc4  00000175  
I/DEBUG   (   31):     4521fbc8  80502354  /dev/libhello.so
I/DEBUG   (   31):     4521fbcc  80500000  /dev/libhello.so
I/DEBUG   (   31):     4521fbd0  00002354  
I/DEBUG   (   31):     4521fbd4  00000107  
I/DEBUG   (   31):     4521fbd8  bef75450  
I/DEBUG   (   31):     4521fbdc  b000d198  
I/DEBUG   (   31):     4521fbe0  00000003  
I/DEBUG   (   31):     4521fbe4  430f8fc9  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (   31):     4521fbe8  00000107  
I/DEBUG   (   31):     4521fbec  bef75450  
I/DEBUG   (   31):     4521fbf0  4214ce24  
I/DEBUG   (   31):     4521fbf4  4214ce10  
I/DEBUG   (   31):     4521fbf8  42de8bb8  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (   31):     4521fbfc  4521fc34  
I/BootReceiver(   61): Copying /data/tombstones/tombstone_02 to DropBox (SYSTEM_TOMBSTONE)
D/Zygote  (   33): Process 373 terminated by signal (11)
E/InputDispatcher(   61): channel '406bf850 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager (server)' ~ Consumer closed input channel or an error occurred.  events=0x8
E/InputDispatcher(   61): channel '406bf850 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager (server)' ~ Channel is unrecoverably broken and will be disposed!
D/dalvikvm(   61): GC_FOR_MALLOC freed 1065K, 49% free 4609K/8967K, external 3125K/3903K, paused 70ms
I/ActivityManager(   61): Process cn.wps.moffice_eng (pid 373) has died.
I/WindowManager(   61): WIN DEATH: Window{406bf850 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager paused=false}
D/dalvikvm(   61): GC_FOR_MALLOC freed 770K, 50% free 4572K/8967K, external 3125K/3903K, paused 47ms
W/InputManagerService(   61): Got RemoteException sending setActive(false) notification to pid 373 uid 10037
I/ActivityManager(   61): Starting: Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity } from pid 144
I/ActivityManager(   61): Start proc cn.wps.moffice_eng for activity cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity: pid=401 uid=10037 gids={3003, 1015}
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  401): Could not find method cn.wps.moffice.documentmanager.PreStartActivity.getActionBar, referenced from method cn.wps.moffice.documentmanager.PreStartActivity.setDisplayShowCustomEnabled
W/dalvikvm(  401): VFY: unable to resolve virtual method 11013: Lcn/wps/moffice/documentmanager/PreStartActivity;.getActionBar ()Landroid/app/ActionBar;
D/dalvikvm(  401): VFY: replacing opcode 0x6e at 0x0006
D/dalvikvm(  401): VFY: dead code 0x0009-000e in Lcn/wps/moffice/documentmanager/PreStartActivity;.setDisplayShowCustomEnabled (Z)V
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/ActivityManager(   61): Starting: Intent { cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager } from pid 401
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GC_EXTERNAL_ALLOC freed 639K, 50% free 3331K/6599K, external 2129K/2137K, paused 54ms
D/dalvikvm(  401): GC_EXTERNAL_ALLOC freed 46K, 49% free 3382K/6599K, external 2611K/2673K, paused 45ms
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  401): Failed resolving Lcn/wps/moffice/common/beans/k$1; interface 540 'Landroid/nfc/NfcAdapter$OnNdefPushCompleteCallback;'
W/dalvikvm(  401): Link of class 'Lcn/wps/moffice/common/beans/k$1;' failed
E/dalvikvm(  401): Could not find class 'cn.wps.moffice.common.beans.k$1', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  401): VFY: unable to resolve new-instance 1597 (Lcn/wps/moffice/common/beans/k$1;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  401): VFY: replacing opcode 0x22 at 0x0039
I/dalvikvm(  401): Failed resolving Lcn/wps/moffice/common/beans/k$3; interface 538 'Landroid/nfc/NfcAdapter$CreateBeamUrisCallback;'
W/dalvikvm(  401): Link of class 'Lcn/wps/moffice/common/beans/k$3;' failed
E/dalvikvm(  401): Could not find class 'cn.wps.moffice.common.beans.k$3', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  401): VFY: unable to resolve new-instance 1599 (Lcn/wps/moffice/common/beans/k$3;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  401): VFY: replacing opcode 0x22 at 0x0070
D/dalvikvm(  401): VFY: dead code 0x003b-005c in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/dalvikvm(  401): VFY: dead code 0x0072-0079 in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/water   (  401): packageName: cn.wps.moffice_eng
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GC_CONCURRENT freed 513K, 47% free 3587K/6727K, external 3121K/3694K, paused 3ms+4ms
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  401): GC_EXTERNAL_ALLOC freed 324K, 48% free 3575K/6791K, external 3121K/3694K, paused 52ms
D/dalvikvm(  401): GC_EXTERNAL_ALLOC freed 152K, 48% free 3593K/6791K, external 3545K/4295K, paused 48ms
I/ActivityManager(   61): Displayed cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager: +3s27ms (total +3s968ms)
D/inject  (  426): [+] The pid of cn.wps.moffice_eng: 401
D/inject  (  426): [+] Injecting process: 401
D/inject  (  426): [+] get_remote_addr: local[afd00000], remote[afd00000]
D/inject  (  426): [+] Remote mmap address: afd170cd
D/inject  (  426): [+] Calling mmap in target process.
D/inject  (  426): [+] Target process returned from mmap, return value=4521b000, pc=0 
D/inject  (  426): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  426): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  426): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  426): [+] Get imports: dlopen: b00059bd, dlsym: b0005915, dlclose: b0005849
D/inject  (  426): [+] Inject code start: c008, end: c084
D/inject  (  426): [+] _dlopen_param1_s: 4521ec9c
D/inject  (  426): [+] _dlsym_param2_s: 4521ed9c
D/inject  (  426): [+] _saved_r0_pc_s: 4521ee9c
D/inject  (  426): [+] _inject_function_param_s: 4521ef9c
