USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
u0_a96    2322  2300  1008   488   ffffffff 00000000 S /system/bin/sh
root      2499  2     0      0     ffffffff 00000000 S kworker/u:3
u0_a12    2536  103   297260 30576 ffffffff 00000000 S com.android.defcontainer
system    2551  103   296412 28752 ffffffff 00000000 S com.android.keychain
u0_a28    2568  103   297512 30632 ffffffff 00000000 S com.google.android.partnersetup
u0_a66    2599  103   297264 30012 ffffffff 00000000 S com.svox.pico
shell     2628  128   996    468   c001172c 400d3570 S /system/bin/sh
shell     2629  2628  1300   760   c00f6074 40126d28 S logcat
u0_a110   2796  103   311672 38408 ffffffff 00000000 S cn.wps.moffice_eng
u0_a110   2816  103   319928 54604 ffffffff 00000000 S cn.wps.moffice_eng:writer1
u0_a98    2988  103   313776 52584 ffffffff 00000000 S com.qq.reader
u0_a140   3015  103   328364 45768 ffffffff 00000000 S com.tencent.mm
u0_a140   3055  103   312976 34816 ffffffff 00000000 S com.tencent.mm:push
root      3158  2     0      0     ffffffff 00000000 S kworker/0:1
u0_a81    3213  103   296292 31932 ffffffff 00000000 S com.chaozh.iReader:Push
u0_a15    3501  103   314376 33748 ffffffff 00000000 S com.android.email
u0_a16    3519  103   305668 31568 ffffffff 00000000 S com.android.exchange
root      3917  2     0      0     ffffffff 00000000 S kworker/u:2
shell     3935  128   1008   520   c001172c 4008f570 S /system/bin/sh
root      3939  3935  1012   524   ffffffff 00000000 S sh
u0_a148   3969  103   356440 64496 ffffffff 00000000 S com.baidu.searchbox
u0_a148   4040  103   308460 37172 ffffffff 00000000 S com.baidu.searchbox:bdservice_v1
u0_a147   4095  103   366376 74728 ffffffff 00000000 S com.baidu.browser.apps
root      4230  2     0      0     ffffffff 00000000 S kworker/0:2
root      4689  2     0      0     ffffffff 00000000 S kworker/0:3
root      5091  2     0      0     ffffffff 00000000 S flush-179:96
root      6551  2     0      0     ffffffff 00000000 S kworker/u:1
root      6552  2     0      0     ffffffff 00000000 S kworker/u:4
root      6889  2     0      0     ffffffff 00000000 S migration/1
root      6890  2     0      0     ffffffff 00000000 S kworker/1:0
root      6892  2     0      0     ffffffff 00000000 S ksoftirqd/1
shell     6893  128   996    468   c001172c 40112570 S /system/bin/sh
radio     6894  103   296404 26728 ffffffff 00000000 R com.android.ActivityNetwork
shell     6895  6893  1236   464   00000000 400709cc R ps
root      6898  2     0      0     ffffffff 00000000 S kworker/1:1
